MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material,material_key,material_type,material_subtype,finish,dropdown_field,Roll Cost,Width (ft),Length (ft),Total Sqft,Cost per Linear ft,cost_sqft,mark_up,archived,material_thickness,category_material_keys,FULL_WRAP,PARTIAL_WRAP,COLOR_CHANGE_PARTIAL,COLOR_CHANGE_FULL,VAN_INSERTS,CAST_LET_GRAPH,CAST_GRAPH_BULK,CAL_LET_GRAPH,KISS_CUT,DIE_CUT,SHEET_LABELS,CORO_PLAST,MAX_METAL,FOAM_CORE,PPF,CHROME_DELETE,WINDOW_PERF,SIGNAGE,SIGN_BOARDS,WITH_FRAME,INSERT_ONLY,BANNERS,BANNER_STAND,LABELS,MAGNETS,WALL_GRAPHICS,VERTICAL_FLUTE,HORIZONTAL_FLUTE,FLAT_EMB,CAP_EMB,TRANSFER_BY_SIZE,GANG_SHEET
"Briteline Transfer Tape 30""",BRITELINE_TRANSFER_TAPE_30,TRANSFER_TAPE,CALENDARED,,transfer_tape,$138.87,2.5,300,750,$0.46,$0.19,$0.93,FALSE,,#N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline Transfer Tape 54""",BRITELINE_TRANSFER_TAPE_54,TRANSFER_TAPE,CALENDARED,,transfer_tape,$249.97,4.5,300,1350,$0.83,$0.19,$0.93,FALSE,,CAL_LET_GRAPH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline Transfer Tape 60""",BRITELINE_TRANSFER_TAPE_60,TRANSFER_TAPE,CALENDARED,,transfer_tape,$277.73,5,300,1500,$0.93,$0.19,$0.93,FALSE,,#N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PPF - SolarGard 60""",PPF_SOLARGARD_60,PPF,,,media,"$1,087.50",5,50,250,$21.75,$4.35,$21.75,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PPF - SolarGard 36""",PPF_SOLARGARD_36,PPF,,,media,"$1,305.00",3,100,300,$13.05,$4.35,$21.75,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PPF - SolarGard 24""",PPF_SOLARGARD_24,PPF,,,media,$870.00,2,100,200,$8.70,$4.35,$21.75,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PPF - Suntek 60""",PPF_SUNTEK_60,PPF,,,media,"$1,436.00",5,50,250,$28.72,$5.74,$28.72,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PPF - Suntek 36""",PPF_SUNTEK_36,PPF,,,media,"$1,770.00",3,100,300,$17.70,$5.90,$29.50,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PPF - Suntek 30""",PPF_SUNTEK_30,PPF,,,media,"$1,475.00",2.5,100,250,$14.75,$5.90,$29.50,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PPF - Suntek 24""",PPF_SUNTEK_24,PPF,,,media,"$1,180.00",2,100,200,$11.80,$5.90,$29.50,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substrates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Core Sheet 4'x8',FOAM_CORE_SHEET_4X8,SUBSTRATE,FOAM_CORE,,substrate,$53.78,4,8,32,$6.72,$1.68,$8.40,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Max Metal Sheet 4'x8',MAX_METAL_4X8,SUBSTRATE,MAX_METAL,,substrate,$53.27,4,8,32,$6.66,$1.66,$8.30,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Corrugated Plastic Panel 4'x8',CORO_PLASTIC_4X8,SUBSTRATE,CORO_PLASTIC,,substrate,$9.62,4,8,32,$1.20,$0.30,$1.50,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Corrugated Plastic Panel 5'x10',CORO_PLASTIC_5X10,SUBSTRATE,CORO_PLASTIC,,substrate,$19.99,4,8,32,$2.50,$0.30,$1.50,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Magnum Magnetics DigiMaxx 48""",MAGNUM_MAGNETICS_48,SUBSTRATE,MAGNET,,substrate,$353.70,4,50,200,$7.07,$1.77,$8.84,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
